Expression	Value	Location	Type	
[146]	'2' (0x32)	0x2000'01b6	uint8_t	
[147]	'\n' (0x0A)	0x2000'01b7	uint8_t	
[148]	'2' (0x32)	0x2000'01b8	uint8_t	
[149]	'0' (0x30)	0x2000'01b9	uint8_t	
[150]	'.' (0x2E)	0x2000'01ba	uint8_t	
[151]	'0' (0x30)	0x2000'01bb	uint8_t	
[152]	'0' (0x30)	0x2000'01bc	uint8_t	
[153]	',' (0x2C)	0x2000'01bd	uint8_t	
[154]	'0' (0x30)	0x2000'01be	uint8_t	
[155]	'.' (0x2E)	0x2000'01bf	uint8_t	
[156]	'0' (0x30)	0x2000'01c0	uint8_t	
[157]	'0' (0x30)	0x2000'01c1	uint8_t	
[158]	',' (0x2C)	0x2000'01c2	uint8_t	
[159]	'6' (0x36)	0x2000'01c3	uint8_t	
[160]	'.' (0x2E)	0x2000'01c4	uint8_t	
[161]	'2' (0x32)	0x2000'01c5	uint8_t	
[162]	'7' (0x37)	0x2000'01c6	uint8_t	
[163]	'7' (0x37)	0x2000'01c7	uint8_t	
[164]	'2' (0x32)	0x2000'01c8	uint8_t	
[165]	'\n' (0x0A)	0x2000'01c9	uint8_t	
[166]	'2' (0x32)	0x2000'01ca	uint8_t	
[167]	'0' (0x30)	0x2000'01cb	uint8_t	
[168]	'.' (0x2E)	0x2000'01cc	uint8_t	
[169]	'0' (0x30)	0x2000'01cd	uint8_t	
[170]	'0' (0x30)	0x2000'01ce	uint8_t	
[171]	',' (0x2C)	0x2000'01cf	uint8_t	
[172]	'0' (0x30)	0x2000'01d0	uint8_t	
[173]	'.' (0x2E)	0x2000'01d1	uint8_t	
[174]	'0' (0x30)	0x2000'01d2	uint8_t	
[175]	'0' (0x30)	0x2000'01d3	uint8_t	
[176]	',' (0x2C)	0x2000'01d4	uint8_t	
[177]	'6' (0x36)	0x2000'01d5	uint8_t	
[178]	'.' (0x2E)	0x2000'01d6	uint8_t	
[179]	'2' (0x32)	0x2000'01d7	uint8_t	
[180]	'7' (0x37)	0x2000'01d8	uint8_t	
[181]	'7' (0x37)	0x2000'01d9	uint8_t	
[182]	'2' (0x32)	0x2000'01da	uint8_t	
[183]	'\n' (0x0A)	0x2000'01db	uint8_t	
[184]	'2' (0x32)	0x2000'01dc	uint8_t	
[185]	'0' (0x30)	0x2000'01dd	uint8_t	
[186]	'.' (0x2E)	0x2000'01de	uint8_t	
[187]	'0' (0x30)	0x2000'01df	uint8_t	
[188]	'0' (0x30)	0x2000'01e0	uint8_t	
[189]	',' (0x2C)	0x2000'01e1	uint8_t	
[190]	'0' (0x30)	0x2000'01e2	uint8_t	
[191]	'.' (0x2E)	0x2000'01e3	uint8_t	
[192]	'0' (0x30)	0x2000'01e4	uint8_t	
[193]	'0' (0x30)	0x2000'01e5	uint8_t	
[194]	',' (0x2C)	0x2000'01e6	uint8_t	
[195]	'6' (0x36)	0x2000'01e7	uint8_t	
[196]	'.' (0x2E)	0x2000'01e8	uint8_t	
[197]	'2' (0x32)	0x2000'01e9	uint8_t	
[198]	'7' (0x37)	0x2000'01ea	uint8_t	
[199]	'\0' (0x00)	0x2000'01eb	uint8_t	
freq	6.796'05E+5	0x2000'0848	float	
